task_id,word,meaning,word_learned_at,meaning_learned_at
3,AI効果,AIは知能をもっていないと考えてしまう心理,2025-08-01,2025-08-01
3,エニアック,1946年ペンシルベニア大で開発、汎用電子式デジタルコンピュータ、大砲の弾道計算,2025-08-01,2025-08-01
3,ダートマス会議,「人工知能に関する〇〇大学の夏期研究会」機械が人間の知能のように振る舞う方法,2025-08-01,2025-08-01
3,第1次AIブーム,1950年代後半～1960年代、推論や探索の研究が盛んに。トイ・プロブレムで終焉,2025-08-01,2025-08-01
3,第2次AIブーム,1980年代、エキスパートシステムにより、複雑な課題に対応。知識量の限界で終焉,2025-08-01,2025-08-01
3,第3次AIブーム,2000年代～現在、ビッグデータを用いて機械学習が実用化、ディープラーニングの登場,2025-08-01,2025-08-01
3,トイ・プロブレム,迷路や数学の定理の証明のような簡単な問題,2025-08-01,2025-08-01
3,エキスパートシステム,特定の専門分野の知識をコンピュータに取り込み、推論や判断ができるようにした,2025-08-01,2025-08-01
3,第五世代コンピュータ,自然言語処理等が目標、第2次AIブームでの日本の取り組み。頓挫。,2025-08-01,2025-08-01
3,ビッグデータ,予測に使う大量のデータ。構造化されていないrawデータの状態で保存される。,2025-08-01,2025-08-01
3,フレーム問題,AIは現実世界の複雑な状況を正確に表現し、適切な推論を行うことができない。,2025-08-01,2025-08-01
3,チューリングテスト,AIが人間のように知的に振る舞えるかどうかを判定するためのテスト,2025-08-01,2025-08-01
3,イライザ,初期の対話型人工知能プログラム,2025-08-01,2025-08-01
3,シンボルグラウンディング問題,AIは物事や文脈の本質を読み取れないという問題。考える、でなく知ってる。,2025-08-01,2025-08-01
3,機械翻訳,言語をコンピュータを用いて変換する技術,2025-08-01,2025-08-01
3,ルールベース機械翻訳,機械翻訳。人間が作成した言語ルールと辞書データを基に生成。直訳,2025-08-01,2025-08-01
3,統計的機械翻訳,機械翻訳。フレーズ単位での翻訳と並び替えを組み合わせた手法,2025-08-01,2025-08-01
3,ニューラル機械翻訳,機械翻訳。文全体を文脈として捉え、自然な語順を生成し、より流暢な訳文を生成,2025-08-01,2025-08-01
3,探索木,特定の値を高速に探し出すことができるようにした木構造。選択肢によって分かれる,2025-08-01,2025-08-01
3,幅優先探索,出発点に近い点から順に探索する,2025-08-01,2025-08-01
3,深さ優先探索,とにかく行けるとこまで行ってそれ以上進めなくなったら一歩戻ってそこから探索する,2025-08-01,2025-08-01
3,リッジ回帰,L2正則化。過学習を防ぐ。重みをできるだけ小さくする。,2025-08-01,2025-08-01
3,モンテカルロ法,確率的なイベントや計算が難しい場合に、ランダムな値で試行と評価を繰り返し解を求める方法,2025-08-01,2025-08-01
3,MYCIN,1970 年代、エキスパートシステムの一種。医療診断に使われる,2025-08-01,2025-08-01
3,プレイアウト,乱数を用いて、終局までプレイすること、モンテカルロ法によるゲームの戦法,2025-08-01,2025-08-01
3,意味ネットワーク,意味記憶の構造を表すためのモデル。単語や概念同士の関係性をグラフによって表したもの,2025-08-01,2025-08-01
